YYYY;MM;DD;qobs;qc_flag
1984;5;18;33.86;40
1984;5;19;30.11;40
1984;5;20;26.54;40
1984;5;21;29.2;40
1984;5;22;39.96;40
1984;5;23;46.59;40
1984;5;24;31.96;40
1984;5;25;27.12;40
1984;5;26;27.12;40
1984;5;27;39.96;40
1984;5;28;65.63;40
1984;5;29;81.85;40
1984;5;30;62.89;40
1984;5;31;57.59;40
1984;6;1;61.71;120
1984;6;2;72.9;120
1984;6;3;85.2;120
1984;6;4;95.66;120
1984;6;5;101.62;120
1984;6;6;91.52;120
1984;6;7;125.2;120
1984;6;8;132.24;120
1984;6;9;131.86;120
1984;6;10;125.86;120
1984;6;11;123.3;120
1984;6;12;128.13;120
1984;6;13;131.49;120
1984;6;14;126.39;120
1984;6;15;119.11;120
1984;6;16;115.32;120
1984;6;17;118.58;120
1984;6;18;121.17;120
1984;6;19;115.44;120
1984;6;20;113.92;120
1984;6;21;86.61;40
1984;6;22;80.29;40
1984;6;23;77.23;40
1984;6;24;81.85;40
1984;6;25;85.01;40
1984;6;26;88.23;40
1984;6;27;86.61;40
1984;6;28;88.23;40
1984;6;29;94.87;40
1984;6;30;93.18;40
1984;7;1;86.61;40
1984;7;2;83.42;40
1984;7;3;80.29;40
1984;7;4;93.18;40
1984;7;5;110.76;40
1984;7;6;101.77;40
1984;7;7;98.29;40
1984;7;8;94.87;40
1984;7;9;85.01;40
1984;7;10;85.01;40
1984;7;11;93.18;40
1984;7;12;86.61;40
1984;7;13;88.23;40
1984;7;14;86.61;40
1984;7;15;80.29;40
1984;7;16;88.23;40
1984;7;17;91.52;40
1984;7;18;91.52;40
1984;7;19;88.23;40
1984;7;20;83.42;40
1984;7;21;78.76;40
1984;7;22;75.73;40
1984;7;23;77.23;40
1984;7;24;81.85;40
1984;7;25;81.85;40
1984;7;26;85.01;40
1984;7;27;86.61;40
1984;7;28;80.29;40
1984;7;29;74.24;40
1984;7;30;74.24;40
1984;7;31;71.3;40
1984;8;1;68.43;40
1984;8;2;65.63;40
1984;8;3;62.89;40
1984;8;4;65.63;40
1984;8;5;77.23;40
1984;8;6;74.24;40
1984;8;7;74.24;40
1984;8;8;72.76;40
1984;8;9;68.43;40
1984;8;10;86.61;40
1984;8;11;78.76;40
1984;8;12;78.76;40
1984;8;13;74.24;40
1984;8;14;64.25;40
1984;8;15;60.21;40
1984;8;16;65.63;40
1984;8;17;64.25;40
1984;8;18;65.63;40
1984;8;19;68.43;40
1984;8;20;68.43;40
1984;8;21;62.89;40
1984;8;22;60.21;40
1984;8;23;57.59;40
1984;8;24;55.04;40
1984;8;25;56.31;40
1984;8;26;77.23;40
1984;8;27;75.73;40
1984;8;28;75.73;40
1984;8;29;62.89;40
1984;8;30;56.31;40
1984;8;31;55.04;40
1984;9;1;51.33;40
1984;9;2;48.93;40
1984;9;3;46.59;40
1984;9;4;46.59;40
1984;9;5;46.59;40
1984;9;6;53.79;40
1984;9;7;55.04;40
1984;9;8;50.12;40
1984;9;9;47.75;40
1984;9;10;45.45;40
1984;9;11;39.96;40
1984;9;12;38.9;40
1984;9;13;67.02;40
1984;9;14;51.33;40
1984;9;15;67.02;40
1984;9;16;50.12;40
1984;9;17;45.45;40
1984;9;18;81.85;40
1984;9;19;56.31;40
1984;9;20;48.93;40
1984;9;21;44.32;40
1984;9;22;39.96;40
1984;9;23;36.84;40
1984;9;24;32.9;40
1984;9;25;31.02;40
1984;9;26;35.83;40
1984;9;27;35.83;40
1984;9;28;32.9;40
1984;9;29;53.79;40
1984;9;30;46.59;40
1984;10;1;29.41;120
1984;10;2;29.2;120
1984;10;3;29.04;120
1984;10;4;28.9;120
1984;10;5;28.74;120
1984;10;6;28.55;120
1984;10;7;28.49;120
1984;10;8;28.84;120
1984;10;9;29.53;120
1984;10;10;28.47;120
1984;10;11;28.05;120
1984;10;12;27.97;120
1984;10;13;28.49;120
1984;10;14;32.16;120
1984;10;15;35.11;120
1984;10;16;35.56;120
1984;10;17;32.69;120
1984;10;18;30.0;120
1984;10;19;28.97;120
1984;10;20;29.09;120
1984;10;21;28.94;120
1984;10;22;28.4;120
1984;10;23;27.9;120
1984;10;24;27.55;120
1984;10;25;27.4;120
1984;10;26;27.27;120
1984;10;27;27.14;120
1984;10;28;27.01;120
1984;10;29;26.88;120
1984;10;30;26.75;120
1984;10;31;26.61;120
1984;11;1;26.47;120
1984;11;2;26.35;120
1984;11;3;26.21;120
1984;11;4;26.08;120
1984;11;5;25.95;120
1984;11;6;25.82;120
1984;11;7;25.69;120
1984;11;8;25.56;120
1984;11;9;25.44;120
1984;11;10;25.31;120
1984;11;11;25.18;120
1984;11;12;25.06;120
1984;11;13;24.93;120
1984;11;14;24.83;120
1984;11;15;25.25;120
1984;11;16;29.05;120
1984;11;17;31.12;120
1984;11;18;31.73;120
1984;11;19;30.75;120
1984;11;20;28.97;120
1984;11;21;27.44;120
1984;11;22;26.23;120
1984;11;23;25.9;120
1984;11;24;25.53;120
1984;11;25;25.1;120
1984;11;26;25.17;120
1984;11;27;25.02;120
1984;11;28;24.52;120
1984;11;29;24.41;120
1984;11;30;24.29;120
1984;12;1;24.23;120
1984;12;2;24.13;120
1984;12;3;24.21;120
1984;12;4;24.08;120
1984;12;5;23.9;120
1984;12;6;23.79;120
1984;12;7;23.67;120
1984;12;8;23.58;120
1984;12;9;23.46;120
1984;12;10;23.33;120
1984;12;11;23.74;120
1984;12;12;24.38;120
1984;12;13;23.32;120
1984;12;14;23.2;120
1984;12;15;23.12;120
1984;12;16;23.04;120
1984;12;17;23.03;120
1984;12;18;22.79;120
1984;12;19;22.67;120
1984;12;20;22.56;120
1984;12;21;22.44;120
1984;12;22;22.33;120
1984;12;23;22.22;120
1984;12;24;22.11;120
1984;12;25;22.0;120
1984;12;26;21.89;120
1984;12;27;21.77;120
1984;12;28;21.67;120
1984;12;29;21.56;120
1984;12;30;21.45;120
1984;12;31;21.35;120
1985;1;1;21.24;120
1985;1;2;21.62;120
1985;1;3;34.48;120
1985;1;4;49.56;120
1985;1;5;46.32;120
1985;1;6;37.89;120
1985;1;7;31.53;120
1985;1;8;27.72;120
1985;1;9;26.53;120
1985;1;10;25.71;120
